pattern_name,open,close,high,low
hammer,197.71,200.18,202.34,196.79
hammer,122.4,123.16,123.35,119.59
hammer,309.18,309.9,310.12,306.58
hammer,385.1,386.1,386.28,381.89
hammer,342.06,343.27,344.63,341.27
hammer,283.36,285.26,288.76,282.03
hammer,310.04,311.05,311.31,307.89
hammer,191.29,192.12,192.3,187.83
hammer,110.43,111.36,111.5,108.12
hammer,146.29,147.39,147.52,144.0
hammer,358.41,359.61,359.73,354.45
hammer,388.09,390.45,393.93,386.29
hammer,334.39,335.37,335.54,330.56
hammer,342.91,344.8,347.03,342.16
hammer,169.95,170.61,170.83,167.37
hammer,160.45,161.0,161.08,157.38
hammer,220.61,221.14,221.29,218.05
hammer,94.02,94.45,94.73,90.99
hammer,343.15,344.31,344.52,339.49
hammer,117.57,118.87,121.41,116.74
hammer,275.08,277.49,279.01,274.27
hammer,151.9,152.77,152.88,149.46
hammer,226.85,227.4,227.64,223.27
hammer,209.73,210.85,211.08,207.11
hammer,110.52,110.95,111.05,106.78
hammer,182.61,183.75,185.54,180.67
hammer,237.08,238.86,241.03,235.92
hammer,96.07,97.15,97.31,92.47
hammer,258.59,259.77,259.89,256.01
hammer,171.8,173.78,175.13,170.24
hammer,259.74,260.34,260.51,255.74
hammer,150.84,151.9,152.17,148.23
hammer,388.45,389.37,389.65,386.27
hammer,254.55,255.02,255.23,251.94
hammer,243.46,243.97,244.12,241.09
hammer,232.09,232.7,232.97,229.24
hammer,217.08,217.89,218.02,213.38
hammer,291.34,291.88,291.94,289.33
hammer,183.45,184.93,187.22,181.47
hammer,391.59,392.39,392.67,388.55
hammer,309.64,310.54,310.66,306.66
hammer,174.44,175.53,176.86,173.13
hammer,318.76,319.49,319.63,316.02
hammer,285.68,286.45,286.51,282.92
hammer,322.06,323.07,323.17,318.96
hammer,210.21,212.5,214.7,209.41
hammer,286.69,287.72,287.8,284.25
hammer,369.26,370.32,370.52,366.96
hammer,334.77,335.47,335.55,331.7
hammer,230.44,231.63,231.74,228.41
hammer,310.32,310.97,311.12,307.52
hammer,208.23,209.13,209.19,205.93
hammer,203.28,203.99,204.06,199.47
hammer,260.64,261.54,261.8,257.38
hammer,354.99,355.64,355.87,351.47
hammer,239.6,240.02,240.31,236.59
hammer,238.6,241.0,243.68,236.92
hammer,123.93,124.8,124.91,120.59
hammer,99.46,100.19,100.41,96.48
hammer,399.18,400.71,401.96,397.73
